Tree,Model,Node,LogLikelihood,AICc,State,Probability
5,SYM,PUA,-14.5089380402571,36.3512094138476,A,0.0815735399919343
5,SYM,PUA,-14.5089380402571,36.3512094138476,G,0.917381176601922
5,SYM,PUA,-14.5089380402571,36.3512094138476,H,0.00104528340614429
5,SYM,PNUA,-14.5089380402571,36.3512094138476,A,0.0216907197959522
5,SYM,PNUA,-14.5089380402571,36.3512094138476,G,0.977884820281057
5,SYM,PNUA,-14.5089380402571,36.3512094138476,H,0.00042445992299055
5,SYM,PSUA,-14.5089380402571,36.3512094138476,A,0.98868812489262
5,SYM,PSUA,-14.5089380402571,36.3512094138476,G,0.0113115544447956
5,SYM,PSUA,-14.5089380402571,36.3512094138476,H,3.20662584264811e-07
5,ARD,PUA,-13.2671074059473,44.1342148118945,A,1.01806584580194e-06
5,ARD,PUA,-13.2671074059473,44.1342148118945,G,0.999998981933615
5,ARD,PUA,-13.2671074059473,44.1342148118945,H,5.39206307425027e-13
5,ARD,PNUA,-13.2671074059473,44.1342148118945,A,2.81839503888745e-12
5,ARD,PNUA,-13.2671074059473,44.1342148118945,G,0.999999999997165
5,ARD,PNUA,-13.2671074059473,44.1342148118945,H,1.69893530426879e-14
5,ARD,PSUA,-13.2671074059473,44.1342148118945,A,0.978574657924239
5,ARD,PSUA,-13.2671074059473,44.1342148118945,G,0.0214253420756992
5,ARD,PSUA,-13.2671074059473,44.1342148118945,H,6.22237050287146e-14
6,ER,PUA,-15.3246319710365,32.849263942073,A,0.47983921102938
6,ER,PUA,-15.3246319710365,32.849263942073,G,0.493258813754235
6,ER,PUA,-15.3246319710365,32.849263942073,H,0.0269019752163852
6,ER,PNUA,-15.3246319710365,32.849263942073,A,0.058977980717399
6,ER,PNUA,-15.3246319710365,32.849263942073,G,0.937855586437342
6,ER,PNUA,-15.3246319710365,32.849263942073,H,0.00316643284525913
6,ER,PSUA,-15.3246319710365,32.849263942073,A,0.985661066630648
6,ER,PSUA,-15.3246319710365,32.849263942073,G,0.0131374253910798
6,ER,PSUA,-15.3246319710365,32.849263942073,H,0.00120150797827184
6,SYM,PUA,-14.5864280625655,36.5061894584643,A,0.146670174385449
6,SYM,PUA,-14.5864280625655,36.5061894584643,G,0.851861492827872
6,SYM,PUA,-14.5864280625655,36.5061894584643,H,0.00146833278667925
6,SYM,PNUA,-14.5864280625655,36.5061894584643,A,0.0221174152466564
6,SYM,PNUA,-14.5864280625655,36.5061894584643,G,0.977454681167016
6,SYM,PNUA,-14.5864280625655,36.5061894584643,H,0.000427903586328
6,SYM,PSUA,-14.5864280625655,36.5061894584643,A,0.983199500259746
6,SYM,PSUA,-14.5864280625655,36.5061894584643,G,0.0167996767127104
6,SYM,PSUA,-14.5864280625655,36.5061894584643,H,8.23027543302434e-07
6,ARD,PUA,-13.3291491080048,44.2582982160096,A,1.9374551420008e-06
6,ARD,PUA,-13.3291491080048,44.2582982160096,G,0.999998062543936
6,ARD,PUA,-13.3291491080048,44.2582982160096,H,9.21970762666461e-13
6,ARD,PNUA,-13.3291491080048,44.2582982160096,A,1.54674480111848e-12
6,ARD,PNUA,-13.3291491080048,44.2582982160096,G,0.999999999998437
